% f_log(GV/m) T(K) deltaE(eV)
-9.17071028 1530.4 4.75152551
-9.17071028 1536.5 4.75256305
-9.17071028 1542.5 4.75360059
-9.17071028 1548.5 4.75463813
-9.17071028 1554.5 4.75567567
-9.17071028 1560.5 4.75671321
-9.17071028 1566.6 4.75775075
-9.17071028 1572.6 4.75878829
-9.17071028 1578.6 4.75982583
-9.17071028 1584.6 4.76086337
-9.17071028 1590.6 4.76190090
-9.17071028 1596.7 4.76293844
-9.17071028 1602.7 4.76397598
-9.17071028 1608.7 4.76501352
-9.17071028 1614.7 4.76605106
-9.17071028 1620.7 4.76708860
-9.17071028 1626.8 4.76812614
-9.17071028 1632.8 4.76916368
-9.17071028 1638.8 4.77020122
-9.17071028 1644.8 4.77123875
-9.17071028 1650.8 4.77227629
-9.17071028 1656.9 4.77331383
-9.17071028 1662.9 4.77435137
-9.17071028 1668.9 4.77538891
-9.17071028 1674.9 4.77642645
-9.17071028 1680.9 4.77746399
-9.17071028 1687.0 4.77850153
-9.17071028 1693.0 4.77953907
-9.17071028 1699.0 4.78057660
-9.17071028 1705.0 4.78161414
-9.17071028 1711.0 4.78265168
-9.17071028 1717.1 4.78368922
-9.17071028 1723.1 4.78472676
-9.17071028 1729.1 4.78576430
-9.17071028 1735.1 4.78680184
-9.17071028 1741.1 4.78783938
-9.17071028 1747.2 4.78887691
-9.17071028 1753.2 4.78991445
-9.17071028 1759.2 4.79095199
-9.17071028 1765.2 4.79198953
-9.17071028 1771.2 4.79302707
-9.17071028 1777.3 4.79406461
-9.17071028 1783.3 4.79510215
-9.17071028 1789.3 4.79613969
-9.17071028 1795.3 4.79717723
-9.17071028 1801.3 4.79821476
-9.17071028 1807.4 4.79925230
-9.17071028 1813.4 4.80028984
-9.17071028 1819.4 4.80132738
-9.17071028 1825.4 4.80236492
-9.17071028 1831.4 4.80340246
-9.17071028 1837.5 4.80444000
-9.17071028 1843.5 4.80547754
-9.17071028 1849.5 4.80651507
-9.17071028 1855.5 4.80755261
